noise_model,n,d,r,p,code_type,shots,errors,total_logical_error_rate,mean_objective_value,average_cpu_time_seconds
depolarizing,7,3,15,0.00035938136638046257,dual_containing,1000000,24522,0.024522,7.781382631606133,0.03322179168380135
depolarizing,7,3,15,0.001,dual_containing,1000000,65085,0.065085,7.781382631606133,0.03322179168380135
depolarizing,7,3,15,0.00012915496650148838,dual_containing,1000000,8978,0.008978,7.781382631606133,0.03322179168380135
depolarizing,7,3,15,7.742636826811277e-05,dual_containing,1000000,5373,0.005373,7.781382631606133,0.03322179168380135
depolarizing,7,3,15,9.999999999999999e-06,dual_containing,1000000,750,0.00075,7.781382631606133,0.03322179168380135
depolarizing,7,3,15,1.6681005372000593e-05,dual_containing,1000000,1172,0.001172,7.781382631606133,0.03322179168380135
depolarizing,7,3,15,4.6415888336127825e-05,dual_containing,1000000,3213,0.003213,7.781382631606133,0.03322179168380135
depolarizing,7,3,15,2.7825594022071256e-05,dual_containing,1000000,1865,0.001865,7.781382631606133,0.03322179168380135
depolarizing,7,3,15,0.0005994842503189409,dual_containing,1000000,40064,0.040064,7.781382631606133,0.03322179168380135
depolarizing,7,3,15,0.00021544346900318823,dual_containing,1000000,14996,0.014996,7.781382631606133,0.03322179168380135
depolarizing,23,7,35,1.6681005372000593e-05,dual_containing,1000000,13,1.3e-05,7.781382631606133,0.03322179168380135
depolarizing,23,7,35,9.999999999999999e-06,dual_containing,1000000,7,7e-06,7.781382631606133,0.03322179168380135
depolarizing,23,7,35,2.7825594022071256e-05,dual_containing,1000000,33,3.3e-05,7.781382631606133,0.03322179168380135
depolarizing,23,7,35,0.00012915496650148838,dual_containing,1000000,785,0.000785,7.781382631606133,0.03322179168380135
depolarizing,23,7,35,4.6415888336127825e-05,dual_containing,1000000,97,9.7e-05,7.781382631606133,0.03322179168380135
depolarizing,23,7,35,7.742636826811277e-05,dual_containing,1000000,290,0.00029,7.781382631606133,0.03322179168380135
depolarizing,23,7,35,0.00021544346900318823,dual_containing,1000000,2270,0.00227,7.781382631606133,0.03322179168380135
depolarizing,23,7,35,0.00035938136638046257,dual_containing,1000000,6614,0.006614,7.781382631606133,0.03322179168380135
depolarizing,23,7,35,0.001,dual_containing,435655,23780,0.05458447624840757,7.781382631606133,0.03322179168380135
depolarizing,23,7,35,0.0005994842503189409,dual_containing,1000000,19372,0.019372,7.781382631606133,0.03322179168380135
depolarizing,47,11,55,9.999999999999999e-06,dual_containing,1000000,29,2.9e-05,7.781382631606133,0.03322179168380135
depolarizing,47,11,55,1.6681005372000593e-05,dual_containing,1000000,94,9.4e-05,7.781382631606133,0.03322179168380135
depolarizing,47,11,55,2.7825594022071256e-05,dual_containing,1000000,250,0.00025,7.781382631606133,0.03322179168380135
depolarizing,47,11,55,4.6415888336127825e-05,dual_containing,819551,624,0.0007613925185863966,7.781382631606133,0.03322179168380135
depolarizing,47,11,55,7.742636826811277e-05,dual_containing,424766,926,0.002180023824882406,7.781382631606133,0.03322179168380135
depolarizing,47,11,55,0.00012915496650148838,dual_containing,181207,1115,0.006153183927773209,7.781382631606133,0.03322179168380135
depolarizing,47,11,55,0.00021544346900318823,dual_containing,68525,1324,0.019321415541773076,7.781382631606133,0.03322179168380135
depolarizing,47,11,55,0.00035938136638046257,dual_containing,21215,1155,0.05444261135988687,7.781382631606133,0.03322179168380135
depolarizing,47,11,55,0.0005994842503189409,dual_containing,4014,636,0.15844544095665172,7.781382631606133,0.03322179168380135
depolarizing,47,11,55,0.001,dual_containing,577,185,0.32062391681109187,7.781382631606133,0.03322179168380135
depolarizing,79,15,75,9.999999999999999e-06,dual_containing,140562,20,0.00014228596633514038,7.781382631606133,0.03322179168380135
depolarizing,79,15,75,1.6681005372000593e-05,dual_containing,59344,36,0.0006066325155028309,7.781382631606133,0.03322179168380135
depolarizing,79,15,75,2.7825594022071256e-05,dual_containing,11564,16,0.0013836042891732965,7.781382631606133,0.03322179168380135
depolarizing,79,15,75,4.6415888336127825e-05,dual_containing,391,0,0.0,7.781382631606133,0.03322179168380135
